gid,자치구명,법정동명,등록동물수,교통량,공시지가음수,반려동물_관련시설,sum,순위
11500103,강서구,화곡동,0.13900975609756097,0.42754655116655116,0.1345809516022664,0.19667317073170731,0.8978104295980858,1
11620102,관악구,신림동,0.161,0.37734242088242087,0.15238579122165258,0.19149756097560977,0.8822257730796832,2
11470101,양천구,신정동,0.08134620405358983,0.36336872718872715,0.12749251341567125,0.2122,0.7844074446579883,3
11350105,노원구,상계동,0.12117863277224322,0.30825378147378146,0.15703166096873075,0.19149756097560977,0.7779616361903652,4
11260101,중랑구,면목동,0.084321745104775,0.3861523816123816,0.14888041018671772,0.14491707317073171,0.7642716100746061,5
11560132,영등포구,신길동,0.0557720371006527,0.42185590667590667,0.12444043569770347,0.09833658536585366,0.7004049648401165,6
11620101,관악구,봉천동,0.10620137409824802,0.33659108339108335,0.13691584523540615,0.10351219512195121,0.6832204978466887,7
11380104,은평구,갈현동,0.037763929920989356,0.43871707553707556,0.14164717972572616,0.06210731707317074,0.6802355022569618,8
11380107,은평구,응암동,0.052685881140501545,0.404183294063294,0.13338560101329489,0.08798536585365854,0.678240142070749,9
11650101,서초구,방배동,0.059278529714874614,0.3558233541233541,0.10453169498235189,0.13974146341463414,0.6593750422352147,10
11470103,양천구,신월동,0.06415664720027482,0.31015066297066296,0.14514498228258346,0.1345658536585366,0.6540181461120578,11
11350106,노원구,중계동,0.06264122294744075,0.37736349734349733,0.15150550567968965,0.06210731707317074,0.6536175430437985,12
11500108,강서구,공항동,0.011680934386808657,0.4356504504504505,0.15456459710180545,0.04658048780487805,0.6484764697439426,13
11260106,중랑구,신내동,0.0284944005496393,0.42326802956802956,0.15358120748201123,0.041404878048780486,0.6467485156484606,14
11500106,강서구,내발산동,0.02182432153899004,0.42754655116655116,0.1344096543560147,0.06210731707317074,0.6458878441347267,15
11740107,강동구,암사동,0.03410257643421505,0.39661684453684454,0.148775585518543,0.06210731707317074,0.6416023235627734,16
11500102,강서구,등촌동,0.037199793885262795,0.38993560637560637,0.12016870897751732,0.0931609756097561,0.6404650848481426,17
11380114,은평구,진관동,0.028383785640673308,0.39805004389004384,0.16567232119636796,0.04658048780487805,0.6386866385319631,18
11500105,강서구,마곡동,0.015452902782548952,0.40601694617694617,0.16499553814891688,0.05175609756097561,0.6382214846693877,19
11290103,성북구,돈암동,0.021879628993473035,0.45124703164703167,0.131663053662531,0.025878048780487804,0.6306677630835235,20
11200107,성동구,행당동,0.020331020267949158,0.4310241672441672,0.11432025165460331,0.05175609756097561,0.6174315367276954,21
11290133,성북구,정릉동,0.043914118859498454,0.38653175791175787,0.1610322699341916,0.025878048780487804,0.6173561954859358,22
11380105,은평구,구산동,0.022532256956372385,0.43871707553707556,0.15044068353982484,0.005175609756097561,0.6168656257893703,23
11500109,강서구,방화동,0.03925723119203023,0.36450685608685607,0.14988949045316646,0.06210731707317074,0.6157608948052236,24
11500101,강서구,염창동,0.019468223978014426,0.42505952875952874,0.1372474857405323,0.03105365853658537,0.6128288970146608,25
11260105,중랑구,망우동,0.02588388869804191,0.40493150843150844,0.1554771404291383,0.025878048780487804,0.6121705863391765,26
11290101,성북구,성북동,0.011747303332188251,0.44963468237468235,0.1484529813962892,0.0,0.6098349671031598,27
11500112,강서구,오곡동,0.0,0.4356504504504505,0.16970056468154307,0.0,0.6053510151319935,28
11500113,강서구,오쇠동,3.318447268979732e-05,0.4356504504504505,0.1685820890183737,0.0,0.604265723941514,29
11500111,강서구,과해동,0.0,0.4356504504504505,0.16809677746730792,0.0,0.6037472279177584,30
11290111,성북구,삼선동1가,0.0032742013053933356,0.4562,0.14045802851570197,0.0,0.5999322298210953,31
11380109,은평구,신사동,0.03241016832703538,0.39771282051282053,0.14765630866445034,0.020702439024390243,0.5984817365286965,32
11290113,성북구,삼선동3가,0.0026547578151837857,0.4562,0.1282230287920915,0.010351219512195121,0.5974290061194704,33
11380103,은평구,불광동,0.04255355547921676,0.38164201894201893,0.15188302421588135,0.020702439024390243,0.5967810376615074,34
11290112,성북구,삼선동2가,0.0036502919958777053,0.4562,0.13088180057239582,0.005175609756097561,0.5959077023243711,35
11200102,성동구,하왕십리동,0.01637100652696668,0.44280590898590894,0.10905100283210746,0.025878048780487804,0.5941059671254709,36
11560121,영등포구,문래동3가,0.007035108210237032,0.44375434973434974,0.1057101286219926,0.03622926829268293,0.5927288548592623,37
11290132,성북구,보문동3가,0.001648162143593267,0.45242731346731346,0.13267789987677187,0.005175609756097561,0.5919289852437761,38
11290128,성북구,보문동6가,0.003329508759876331,0.45242731346731346,0.130047104107395,0.005175609756097561,0.5909795360906823,39
11380108,은평구,역촌동,0.03546313981449674,0.3741598752598752,0.13377835531130627,0.04658048780487805,0.5899818581905562,40
11650111,서초구,신원동,0.0023892820336654072,0.40876742434742436,0.1678841991870914,0.010351219512195121,0.5893921250803762,41
11560123,영등포구,문래동5가,0.002488835451734799,0.44375434973434974,0.14305837902999438,0.0,0.5893015642160789,42
11560124,영등포구,문래동6가,0.004933424939883202,0.44375434973434974,0.12766663453157057,0.010351219512195121,0.5867056287179986,43
11290119,성북구,동선동4가,0.0016039161800068705,0.45124703164703167,0.11573850406585186,0.015526829268292686,0.5841162811611831,44
11560101,영등포구,영등포동,0.007621367227756785,0.4385906167706167,0.12744537449397234,0.010351219512195121,0.584008578004541,45
11290123,성북구,안암동3가,0.002798557196839574,0.4497189882189882,0.13090034617212803,0.0,0.5834178915879558,46
