gid,자치구명,법정동명,등록동물수,교통량,공시지가음수,반려동물_관련시설
11440106,마포구,토정동,62,-2616,-2539256,0
11440107,마포구,마포동,130,-3989,-5493515,1
11440108,마포구,대흥동,569,-2909,-5383570,4
11440109,마포구,염리동,637,-2661,-5891320,3
11440110,마포구,노고산동,302,-3516,-6734081,1
11440111,마포구,신수동,594,-2909,-5402698,3
11440112,마포구,현석동,175,-2909,-4094419,0
11440113,마포구,구수동,52,-2909,-5853250,0
11440114,마포구,창전동,598,-4231,-5186542,3
11440115,마포구,상수동,383,-4231,-5208448,3
11440116,마포구,하중동,80,-4231,-3971352,0
11440117,마포구,신정동,52,-4231,-3530604,1
11440118,마포구,당인동,73,-4231,-1506953,0
11440120,마포구,서교동,2146,-3516,-9102816,8
11440121,마포구,동교동,271,-3516,-9199553,0
11440122,마포구,합정동,1189,-24065,-3117360,11
11440123,마포구,망원동,2499,-20943,-3281169,5
11440124,마포구,연남동,1021,-6902,-5597012,1
11440125,마포구,성산동,2687,-8727,-3283282,6
11440126,마포구,중동,510,-8727,-3701426,1
11440127,마포구,상암동,1366,-16553,-1682584,5
11470101,양천구,신정동,7354,-9360,-3469765,41
11470102,양천구,목동,6451,-18225,-4608209,21
11470103,양천구,신월동,5800,-14410,-2125765,26
11500101,강서구,염창동,1760,-3506,-2727054,6
11500102,강서구,등촌동,3363,-6839,-4027375,18
11500103,강서구,화곡동,12567,-3270,-2930075,38
11500104,강서구,가양동,2174,-3506,-3034259,0
11500105,강서구,마곡동,1397,-5313,-614410,10
11500106,강서구,내발산동,1973,-3270,-2943117,12
11500107,강서구,외발산동,54,-4816,-1903818,0
11500108,강서구,공항동,1056,-2501,-1408587,9
11500109,강서구,방화동,3549,-9252,-1764534,12
11500110,강서구,개화동,159,-9084,-187705,0
11500111,강서구,과해동,0,-2501,-378292,0
11500112,강서구,오곡동,0,-2501,-256185,0
11500113,강서구,오쇠동,3,-2501,-341342,0
11560101,영등포구,영등포동,689,-2222,-3473354,2
11560102,영등포구,영등포동1가,113,-2222,-4924658,0
11560103,영등포구,영등포동2가,154,-2222,-3957042,0
11560104,영등포구,영등포동3가,73,-2222,-11207577,1
11560105,영등포구,영등포동4가,112,-2222,-10708280,0
11560106,영등포구,영등포동5가,98,-2222,-5987754,2
11560107,영등포구,영등포동6가,95,-2222,-5994790,1
11560108,영등포구,영등포동7가,375,-2222,-4653965,1
11560109,영등포구,영등포동8가,329,-2222,-5112333,0
11560110,영등포구,여의도동,1959,-19712,-4578482,4
11560111,영등포구,당산동1가,367,-2637,-4773834,1
11560112,영등포구,당산동2가,274,-2637,-5659764,0
11560113,영등포구,당산동3가,493,-2637,-5328859,1
11560114,영등포구,당산동4가,564,-5288,-5011486,0
11560115,영등포구,당산동5가,616,-5288,-5280678,3
11560116,영등포구,당산동6가,196,-5288,-4369620,0
11560117,영등포구,당산동,282,-5288,-1273261,0
11560118,영등포구,도림동,981,-9342,-2865384,1
11560119,영등포구,문래동1가,10,-1732,-3709384,2
11560120,영등포구,문래동2가,53,-1732,-3573453,0
11560121,영등포구,문래동3가,636,-1732,-5128203,7
11560122,영등포구,문래동4가,95,-1732,-3101453,0
11560123,영등포구,문래동5가,225,-1732,-2284632,0
11560124,영등포구,문래동6가,446,-1732,-3456508,2
11560125,영등포구,양평동1가,247,-5527,-4696571,0
11560126,영등포구,양평동2가,339,-5527,-4238583,0
