자치구명,법정동명,등록수
중구,충무로5가,42
중구,태평로1가,1
중구,태평로2가,2
중구,회현동1가,201
중구,회현동2가,93
중구,회현동3가,4
중구,남대문로5가,51
중랑구,면목동,7623
중랑구,상봉동,2219
중랑구,중화동,2423
중랑구,묵동,2441
중랑구,망우동,2340
중랑구,신내동,2576
