gid,sgg_nm_k,sido_nm_k,격자 내 토지이용(건물)의 밀도
다사57b56b,성북구,서울특별시,240.5567012
다사42b51b,강서구,서울특별시,239.8698916
다사46b41a,금천구,서울특별시,239.841242
다사59a56b,성북구,서울특별시,239.7407776
다사41b51a,강서구,서울특별시,239.6394396
다사62a52a,동대문구,서울특별시,238.4960416
다사44b50a,강서구,서울특별시,238.3914012
다사65a46a,송파구,서울특별시,237.8249049
다사60b44a,강남구,서울특별시,237.6727877
다사68b42a,송파구,서울특별시,237.5917094
다사45a48b,양천구,서울특별시,235.704372
다사59b40b,서초구,서울특별시,234.952324
다사47b52b,서대문구,서울특별시,234.9151062
다사48b55b,은평구,서울특별시,234.3992159
다사43b51a,강서구,서울특별시,232.3256081
다사46a41b,금천구,서울특별시,231.84033
다사64a45a,송파구,서울특별시,231.6258084
다사50a50b,마포구,서울특별시,231.3353484
다사65b46a,송파구,서울특별시,230.2603026
다사56b44b,서초구,서울특별시,229.5024748
다사58a51a,성동구,서울특별시,228.6272772
다사60a49b,성동구,서울특별시,227.5546018
다사63b45b,송파구,서울특별시,227.308848
다사43b50b,강서구,서울특별시,226.7446982
다사43b44a,구로구,서울특별시,226.4161364
다사59b61b,도봉구,서울특별시,226.2843716
다사47b47a,영등포구,서울특별시,226.1315964
다사59a47a,강남구,서울특별시,225.903248
다사57b46b,강남구,서울특별시,225.643118
다사58b50b,성동구,서울특별시,225.1598232
다사61a61b,노원구,서울특별시,225.137568
다사59a46a,강남구,서울특별시,224.5951668
다사57b46a,강남구,서울특별시,224.262124
다사57b51a,중구,서울특별시,223.7573336
다사57b45a,서초구,서울특별시,223.6463744
다사42a46b,양천구,서울특별시,223.5617144
다사59a44a,강남구,서울특별시,222.7231096
다사61a44a,강남구,서울특별시,222.4150635
다사66a42b,송파구,서울특별시,222.3548836
다사69b50b,강동구,서울특별시,221.5622988
다사45a45b,구로구,서울특별시,220.9128064
다사56a52a,중구,서울특별시,220.3705736
다사64a56b,중랑구,서울특별시,219.1150218
다사57b45b,강남구,서울특별시,218.6102687
다사66a44a,송파구,서울특별시,218.5490116
다사59a50b,성동구,서울특별시,218.2926488
다사59a46b,강남구,서울특별시,217.85449
다사70b50a,강동구,서울특별시,217.4167148
다사62b57a,중랑구,서울특별시,216.8973206
다사64a56a,중랑구,서울특별시,216.5496984
다사54b52b,종로구,서울특별시,216.299528
다사58b46b,강남구,서울특별시,215.959502
다사50b45a,동작구,서울특별시,215.9415528
다사44a50a,강서구,서울특별시,215.7903525
다사40a51a,강서구,서울특별시,215.7887024
다사57a44b,서초구,서울특별시,215.7287137
다사63b55a,중랑구,서울특별시,215.464482
다사41b52a,강서구,서울특별시,215.3468302
다사61b57b,노원구,서울특별시,215.156306
다사55a43b,서초구,서울특별시,215.0739765
다사52b51b,서대문구,서울특별시,214.9343644
다사63b43b,강남구,서울특별시,214.455748
다사41b51b,강서구,서울특별시,213.9310819
다사58b46a,강남구,서울특별시,213.6289046
다사58b45b,강남구,서울특별시,213.3070364
다사61b60a,노원구,서울특별시,213.13488
다사51a48b,마포구,서울특별시,212.7134392
다사56a51b,중구,서울특별시,212.1684844
다사42b50b,강서구,서울특별시,212.1515156
다사57b52b,종로구,서울특별시,211.8438138
다사57a51b,중구,서울특별시,211.627562
다사51b51a,서대문구,서울특별시,211.3316651
다사64b49a,광진구,서울특별시,211.222268
다사40a52a,강서구,서울특별시,211.063408
다사43a43b,구로구,서울특별시,210.6068112
다사46b48a,영등포구,서울특별시,210.455564
다사64a45b,송파구,서울특별시,210.284792
다사45b42b,구로구,서울특별시,210.24872
다사61b42b,강남구,서울특별시,209.2174446
다사51a49b,마포구,서울특별시,209.0017486
다사61a49b,성동구,서울특별시,208.493204
다사51a45b,동작구,서울특별시,208.2904571
다사57a55b,성북구,서울특별시,208.270953
다사50b49a,마포구,서울특별시,208.1836202
다사61a52a,동대문구,서울특별시,207.69247
다사53a43a,동작구,서울특별시,207.6682866
다사43a51b,강서구,서울특별시,207.646824
다사48b50b,마포구,서울특별시,207.0336712
다사55b53a,종로구,서울특별시,206.788164
다사61b61b,노원구,서울특별시,206.64836
다사58a51b,성동구,서울특별시,206.5736802
다사61a46a,강남구,서울특별시,206.546464
다사48b40a,관악구,서울특별시,205.9211444
