name,lat,lon
청계8가.황학교,37.57202421,127.0227587
평창동삼성아파트,37.61114471,126.9786583
안국역.종로경찰서.인사동,37.57644246,126.985459
안국역.종로경찰서.서울공예박물관,37.57631159,126.9848482
남인사마당,37.5713121,126.9875497
평창파출소,37.60565062,126.9668407
삼청공원,37.58820522,126.9816831
수성동계곡,37.58207926,126.9642468
명륜3가종점,37.59094741,126.992862
명륜새마을금고,37.587775,126.996701
서대문3번출구,37.56638695,126.9661707
낙산공원,37.5804315,127.0087267
인사미술공간.세탁소,37.5814087,126.9893928
화정박물관,37.60477714,126.9648999
금융연수원,37.58659721,126.9816318
박노수미술관,37.58102384,126.9666083
샘미용실,37.59031994,126.9932462
서울국제고등학교,37.58909477,126.9972253
화정박물관,37.6050271,126.9652477
적십자병원후문앞,37.56746105,126.9651082
서울성곽.성대후문,37.58936828,126.9896242
빨래터.고희동미술관,37.58300798,126.9889778
세검초등학교,37.60421635,126.9613774
삼청동주민센터,37.58426224,126.9819214
통인시장,37.58045056,126.9687475
양현관,37.58979638,126.9936156
국민생활관,37.58982995,126.9988862
오거리,37.60708503,126.9622896
경희궁자이2.3단지,37.56872813,126.963958
창신쌍용2단지.한성대후문,37.581314,127.012764
통일부,37.58757377,126.9856444
원서고개,37.58313929,126.9878078
종로5가입구.혜화경찰서,37.57175197,126.9976354
삼청파출소,37.58181295,126.9812527
오거리.한옥마을입구,37.57949911,126.9695468
명륜시장.성대후문,37.58852435,126.9952895
혜화초등학교,37.58725861,126.9998817
청련사입구,37.60802413,126.9624033
영천시장,37.56993749,126.9627339
명신초.삼선푸르지오.힐스테이트,37.58214747,127.0145303
감사원,37.58630021,126.9853527
중앙중고,37.58313014,126.9869646
인왕빌딩,37.60787761,126.9576748
종로4가.종묘공원,37.57053493,126.9933354
국립민속박물관,37.57925522,126.9795529
광화문새마을금고,37.5794299,126.971144
새마을금고,37.587764,126.996533
혜화우체국,37.58606005,127.000652
언덕앞,37.60897784,126.9637502
경희궁자이4단지,37.57062718,126.9620022
종로센트레빌후문.e편한세상보문아파트,37.58181551,127.0161805
사우디대사관앞.경남빌라,37.58410605,126.9850108
안국선원.삼거리,37.58279098,126.9849937
구기터널입구,37.60824748,126.9568023
종로3가.1.3.5호선,37.5710577,126.9920673
경복궁,37.57694919,126.9794156
소나무집,37.61133533,126.9641242
독립문역3번출구,37.57284056,126.9596864
청룡사.보문파크뷰자이아파트,37.58001947,127.0170513
북촌한옥마을입구.정세권활동터,37.58159945,126.9849792
종로1.2.3.4가동주민센터,37.5743637,126.9910279
창덕궁,37.57606978,126.9905176
아름다운실버,37.61202201,126.9654343
독립문초등학교,37.57385981,126.9607061
종로센트레빌아파트,37.58034969,127.0156407
가회동주민센터,37.5799374,126.9849331
구기빌라,37.6062969,126.9579492
원남로터리,37.57622486,126.9973507
보현산신각,37.61347641,126.9657637
천사유치원,37.57467705,126.9618149
쌍용아파트입구.창신역,37.58051063,127.0150007
아름다운가게.정독도서관,37.57891938,126.9850932
산정빌라,37.60515273,126.9574985
이화사거리,37.57647127,127.0021147
박종화고택입구,37.61433238,126.9676637
무악현대아파트후문,37.57630822,126.9619725
헌법재판소.안국역,37.57757327,126.9857196
청구빌라,37.60461247,126.9569707
서울대어린이병원응급실.갑상선센터,37.57815458,126.9994856
화인빌라,37.61297509,126.9685484
넓은마당,37.57527297,126.9628884
창신초등학교,37.57690312,127.015387
수운회관,37.57519246,126.9866595
상명대후문,37.6040312,126.9573503
힐탑,37.61163964,126.9690414
신학대학교총회본부,37.57397598,126.9634435
낙원상가,37.57372579,126.9874228
완성빌라,37.60340672,126.9575212
서울대병원장례식장,37.58053639,126.9974252
혜화역1번출구,37.58343559,127.0017606
감나무골공원,37.61240568,126.9699425
한국사회과학자료원,37.57365155,126.9640915
동묘역,37.5726953,127.0142449
금강제화,37.57055096,126.98757
경진빌라,37.60199096,126.9578485
성균관대학교앞,37.58337953,126.9992644
EN갤러리,37.61344769,126.9706926
종로문화센터,37.57466302,126.9645715
동대문역.2번출구,37.57198805,127.0117451
종각역YMCA,37.57027694,126.9853306
서교빌라,37.60203769,126.9571666
경복궁역,37.57705527,126.972396
성대입구,37.58323265,126.9989021
무애사,37.61390077,126.9718335
단군성전앞,37.57558773,126.9652997
동대문종합시장,37.57116462,127.0062452
상명초등학교,37.60093683,126.9566832
법련사,37.57658927,126.9795903
광화문새마을금고,37.57954714,126.9710253
성균관대학교,37.58501732,126.9971587
참샘골공원,37.61460832,126.9741219
활터앞,37.57685248,126.9653646
종로5가.3번출구,37.57142206,127.0019717
인사동들머리.3.1독립선언터,37.57202968,126.9832651
정독도서관,37.58021772,126.9800442
오거리.한옥마을입구,37.57951132,126.9697374
평창공원지킴터입구,37.61639742,126.9757357
종로1가,37.570265,126.9804547
종로도서관,37.57654334,126.9670812
종로사우나,37.57374132,126.9875872
엄마분식,37.60126624,126.9557385
삼청파출소,37.58168273,126.9812398
통인시장.종로구보건소,37.58032702,126.968674
종로5가역,37.57077778,127.0000159
평창동산림제3초소,37.61727036,126.9770157
배화여중고,37.57676539,126.9678404
대학로입구.이화사거리,37.57608577,127.0025921
운현궁,37.57523204,126.9868071
상명대입구,37.6000343,126.9570083
삼청동주민센터,37.58470051,126.982067
박노수미술관,37.5810715,126.9669162
김창열.윤명로화실,37.61634256,126.9783839
사직동주민센터,37.57626303,126.9689265
충신시장,37.57502156,127.0054957
안국역2번출구앞,37.57715641,126.9860701
금융연수원,37.58586652,126.9817788
감람산기도원,37.61594859,126.9798977
카센터.터널앞,37.57409154,126.9658959
재동초등학교,37.57876787,126.9852803
삼청공원삼거리.옥호정터,37.58741767,126.9817114
이화사거리,37.57532444,127.0021613
연화정사,37.61465067,126.9795064
대신중고,37.57248345,126.9616841
현대사거리,37.57927377,126.9866293
교남동주민센터,37.57218653,126.9613244
부암동주민센터.무계원,37.59297029,126.9639626
형제봉입구,37.61286785,126.9816904
교남동새마을금고,37.57154717,126.9623511
창신초교,37.57600289,127.01556
가회동주민센터,37.57994426,126.9850463
볼링장,37.57928821,126.9879587
부암슈퍼,37.59475041,126.9637118
지구촌교회,37.61308365,126.9793714
월암공원,37.57120167,126.9640609
숭인1동주민센터,37.57740683,127.0154152
북촌한옥마을입구.정세권활동터,37.58128235,126.9850874
하림각,37.59766118,126.9629357
보현빌라,37.61527342,126.9782677
스위스대사관,37.57002014,126.9658537
안국선원.삼거리,37.58274414,126.9851065
세검정교회,37.59949975,126.9594376
혜화동로터리,37.585841,127.001025
김종영미술관,37.61328458,126.9781674
서울시교육청,37.569301,126.966867
창신쌍용1단지.종로센트레빌아파트,37.58032364,127.0155933
사우디대사관,37.58386431,126.9851204
상명대입구,37.5998416,126.9573863
혜화초등학교,37.58737916,126.9999339
강북삼성병원,37.56855092,126.9683774
청룡사.보문파크뷰자이아파트,37.57980742,127.0170716
감사원,37.58630026,126.9855847
국민생활관,37.58961857,126.9992595
종로센트레빌후문.e편한세상보문아파트,37.58192679,127.0162427
통일부,37.58750461,126.9862356
서울국제고등학교,37.58907642,126.9971357
성대후문.와룡공원,37.58904414,126.9898018
상명초등학교,37.60091032,126.956804
새마을금고,37.587869,126.996591
경진빌라,37.60189002,126.9579113
명륜시장.성대후문,37.5887412,126.9952574
완성빌라,37.60334091,126.9576706
양현관,37.58977769,126.9937845
상명대후문,37.60407255,126.9574659
샘미용실,37.59026509,126.9934322
산정빌라,37.60528498,126.9575841
구기빌라,37.60615702,126.9579562
마트앞,37.60670367,126.9587519
국민은행.세검정지점,37.60491058,126.9608712
혜화역4번출구,37.5834723,127.0015413
방송통신대앞,37.57869836,127.0020673
서울대치과대학,37.57739445,126.9977684
효제초교.연동교회.김마리아활동터,37.57364661,127.002064
성균관대학교,37.58846735,126.9900098
독립문역,37.57321672,126.959303
서울대치과대학,37.57755076,126.9978353
이화사거리,37.57694962,127.0021044
서울대학교병원현관.암병원현관,37.57896524,126.9981605
종각.공평유적전시관,37.57159451,126.9830861
조계사,37.57386103,126.9829895
대학로,37.58188699,127.0020228
창경궁,37.57916918,126.9965212
창덕궁,37.57743704,126.990206
인사동.북촌,37.57585495,126.9838224
경복궁.국립민속박물관,37.5801956,126.979846
세종문화회관,37.57113398,126.9767655
통인시장,37.57912062,126.9713415
세종문화회관,37.57210934,126.9767311
종각역,37.56937833,126.9829141
인사동.탑골공원,37.57014462,126.988798
종묘.세운상가,37.5703916,126.9941937
광장시장,37.57075889,126.9996619
동묘.숭인동도깨비시장,37.57357278,127.0179931
서울풍물시장,37.57334204,127.0232491
청와대,37.58268388,126.9737047
남대문세무서.서울백병원,37.5649827,126.987458
서울백병원.국가인권위.안중근활동터,37.56435045,126.9878514
서울역버스환승센터,37.55503906,126.972591
서울역버스환승센터,37.55547764,126.9725522
서울역버스환승센터,37.55537624,126.9725603
서울역버스환승센터,37.55547526,126.9727727
서울역버스환승센터.강우규의거터,37.5554664,126.9727727
숭례문,37.55863332,126.9737883
숭례문(가상),37.55976294,126.974489
서울시청,37.56606406,126.980633
만리동고개,37.55170287,126.9625261
손기정체육공원입구,37.55438998,126.9662684
서울의료보건고등학교.서울역서부,37.5563011,126.9683795
서울역서부,37.55631975,126.9691952
서울역서부,37.55696436,126.9691859
중림동교차로,37.55838734,126.9692102
종근당.충정로역,37.55961021,126.96439
한국경제신문사.서소문역사공원,37.56046067,126.9678362
한국경제신문사.서소문역사공원,37.56058349,126.9679823
경찰청.동북아역사재단,37.56299314,126.969006
서대문경찰서.농협은행.유관순활동터,37.56484788,126.9676563
염천교,37.55983746,126.9733639
숭례문,37.55801095,126.9732328
숭례문.한국일보,37.55870646,126.9738535
후암삼거리,37.55332913,126.976073
숭례문,37.55884151,126.9742235
숭례문,37.55859746,126.9740061
숭례문,37.55805813,126.973524
남대문시장악세사리전문상가,37.55857317,126.9759992
숭례문남산방향,37.55859067,126.975803
남대문시장,37.56132894,126.9800196
북창동.남대문시장,37.56108129,126.9779335
시청앞,37.56260691,126.9764872
삼성본관앞,37.56201768,126.9760491
시청앞,37.56272336,126.9763191
서소문,37.56330546,126.9748279
서소문,37.56364514,126.9753581
시청.서소문청사,37.56349625,126.9749714
서울신문사,37.56836368,126.9772705
우리은행종로지점,37.56752226,126.9827971
롯데백화점,37.56447124,126.9821793
해운센터.롯데영프라자,37.56285872,126.9816645
롯데영프라자,37.56300813,126.9819218
신세계앞,37.560919,126.981632
남대문시장.회현역,37.55949853,126.9800425
남대문시장.회현역,37.55855865,126.9783475
남산3호터널,37.55848656,126.9828004
남산3호터널.서울애니메이션센터,37.5595072,126.9825662
명동입구,37.56076734,126.9852258
퇴계로2가.명동역,37.56094,126.985717
퇴계로3가.한옥마을.한국의집,37.56113348,126.991731
퇴계로3가.한옥마을.한국의집,37.56098999,126.9924905
충무로역2번출구.대한극장앞,37.56131968,126.994883
충무로역8번출구.대한극장앞,37.56187249,126.9965752
초동,37.56333797,126.9930225
을지로입구.로얄호텔,37.56598702,126.9853753
을지로입구.시청입구,37.56606813,126.9811721
을지로2가.기업은행본점.서울노동청,37.56617502,126.9865271
을지로2가.파인에비뉴,37.5661216,126.9888222
을지로3가,37.56631337,126.9903795
을지로3가,37.56623363,126.9913175
을지로4가,37.56660385,126.9962219
을지로4가.베스트웨스턴국도,37.56649714,126.9968403
중구청앞.덕수중학교,37.56477911,126.9982285
을지로5가,37.5667551,126.9992631
을지로5가.중부시장,37.56672392,127.001107
방산시장.훈련원종합체육관,37.56795334,127.0022525
을지로5가.훈련원종합체육관,37.56581687,127.0024218
