공원명,x,y
마포구 반려견 놀이터(댕댕이 놀이터),950828.9256347144,1948930.1371258153
월드컵공원 반려견 놀이터,946276.8607451177,1951895.8428039064
영등포구 반려견 놀이터,945324.3656312380,1947207.7544275513
구로구 반려견 놀이터,944702.4401599154,1945534.2981922319
보라매공원 반려견 놀이터,948666.3311996220,1943644.3382798072
어린이대공원 반려견 놀이터,963294.7102902303,1949711.4760680839
동대문구 반려견 놀이터,962634.2195396610,1953513.8498177212
송파구 반려견 놀이터,964732.5391058710,1944184.2688999400
초안산근린공원,959543.9943549694,1961000.1696364067
