gid,val,EMD_NM,자치구?,등록수,교통량,동물병?,위탁업?,판매업?,놀이터_
"11110187",2541751.3599999998696148395538330078125,무악동,종로구,"451","18875",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140101",36499659.8500000014901161193847656250000,무교동,중구,"2","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140102",31733734.1799999997019767761230468750000,다동,중구,"153","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140103",34287675.9500000029802322387695312500000,태평로1가,중구,"1","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140104",45318675.8400000035762786865234375000000,을지로1가,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140105",40287282.5099999979138374328613281250000,을지로2가,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140106",26593919.3700000010430812835693359375000,남대문로1가,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140107",27889406.4800000004470348358154296875000,삼각동,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140108",39798446.9799999967217445373535156250000,수하동,중구,"1","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140109",35256529.4799999967217445373535156250000,장교동,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140110",20997172.2199999988079071044921875000000,수표동,중구,"1","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140111",34876163.9900000020861625671386718750000,소공동,중구,"2","953",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140112",11634005.7300000004470348358154296875000,남창동,중구,"31","1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140113",20230515.1099999994039535522460937500000,북창동,중구,"3","953",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140114",29861496.2199999988079071044921875000000,태평로2가,중구,"2","953",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140115",31893828.8299999982118606567382812500000,남대문로2가,,,"536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140116",37775722.5300000011920928955078125000000,남대문로3가,,,"1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140117",25867943.7100000008940696716308593750000,남대문로4가,,,"1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140118",17726960.1700000017881393432617187500000,남대문로5가,중구,"51","1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140119",12323947.8499999996274709701538085937500,봉래동1가,중구,"12","1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140120",12583975.7299999985843896865844726562500,봉래동2가,중구,"1","1181",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140121",6367714.5000000000000000000000000000000,회현동1가,중구,"201","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140122",15192435.4499999992549419403076171875000,회현동2가,중구,"93","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"11140123",11319418.6300000008195638656616210937500,회현동3가,중구,"4","536",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
